id,Î³¶È,¾­¶È
1,31.55013375,120.4400391
2,31.48017879,120.3885923
3,31.57123475,120.3188636
4,31.47572907,120.390286
5,31.57182468,120.3344862
6,31.47669558,120.454311
7,31.54753786,120.3470474
8,31.47806081,120.449776
9,31.56774016,120.3902152
10,31.54812593,120.3725406
11,31.50606708,120.4065149
12,31.56051063,120.3877958
13,31.52140824,120.5043385
14,31.50954525,120.3993267
15,31.51901418,120.5179287
16,31.55758615,120.3274758
17,31.56030116,120.3208763
18,31.47143187,120.4490242
19,31.56525731,120.3686829
20,31.53275761,120.4349702
21,31.57599021,120.4070097
22,31.49838742,120.4353979
23,31.46788169,120.4348003
24,31.54192887,120.383106
25,31.57847318,120.3269689
26,31.56476836,120.4016114
27,31.48852696,120.4978055
28,31.56177201,120.3446616
29,31.54358112,120.3746929
30,31.55047009,120.3741981
31,31.5281751,120.5057315
32,31.53471392,120.4158665
33,31.56369125,120.3316787
34,31.54731707,120.4194373
35,31.57579161,120.3363468
36,31.54322298,120.3543604
37,31.57661766,120.3200024
38,31.56699758,120.3973109
39,31.67589394,120.8303351
40,31.57439313,120.3736784
41,31.5617012,120.3373406
42,31.47281553,120.4413162
43,31.56457941,120.3453416
44,31.11414531,120.4942633
45,31.49718069,120.4886982
46,31.55198186,120.3682368
47,31.48497808,120.8851289
48,31.56134593,120.3249083
49,31.54941763,120.449716
50,31.48533206,120.3736621
51,31.55701495,120.3900932
52,31.55846157,120.3329738
53,31.57299384,120.3243758
54,31.54287829,120.3718875
55,31.52727446,120.4965611
56,31.45296822,120.4661794
57,31.48664073,120.4497931
58,31.57325428,120.4049172
59,31.56021468,120.347065
60,31.50365678,120.6637525
61,31.53254591,120.4390022
62,31.49063308,120.4862389
63,31.52858695,120.4995562
64,31.53663663,120.4373264
65,31.46351549,120.4522067
66,31.57715791,120.3259315
67,31.57464398,120.3178483
68,31.56793543,120.3350449
69,31.54969686,120.3690908
70,31.49601611,120.4582627
71,31.5464655,120.3696796
72,31.54832156,120.4337629
73,31.56740979,120.3626114
74,31.56900145,120.4071017
75,31.56511093,120.317683
76,31.47840964,120.3938394
77,31.53356887,120.4349573
78,31.52199183,120.4317751
79,31.52518015,120.4211724
80,31.6107935,120.1998668
81,31.53903267,120.4297344
82,31.54615684,120.3573354
83,31.54094381,120.350974
84,31.55362103,120.3736002
85,31.51780042,120.371516
86,31.53740305,120.4446272
87,31.53367224,120.4325931
88,31.55860273,120.3895746
89,31.54406493,120.4467784
90,31.47137024,120.4416304
91,31.51980753,120.4635671
92,31.56708967,120.3971291
93,31.49440128,120.4852331
94,31.49541518,120.4993571
95,31.47107377,120.4358782
96,31.48479406,120.4716619
97,31.57189392,120.3376157
98,31.52574109,120.5023939
99,31.56545551,120.3806818
100,31.47255253,120.4551336
101,31.47116913,120.3643449
102,31.56186082,120.3735094
103,31.51020303,120.3950598
104,31.51977594,120.4487028
105,31.57935136,120.3184458
106,31.53887391,120.441039
107,31.4689808,120.4395907
108,31.55648802,120.3936885
109,31.57310351,120.313538
110,31.52930225,120.5010527
111,31.49160026,120.4887371
112,31.5629858,120.3920319
113,31.47812518,120.3831165
114,31.57908037,120.3135752
115,31.45746281,120.4442596
116,31.53043146,120.3818039
117,31.54140875,120.4173966
118,31.54549448,120.3933151
119,31.57351792,120.409454
120,31.57205637,120.3817231
121,31.56312111,120.390298
122,31.52223254,120.434576
123,31.55973793,120.3495078
124,31.53533596,120.4404835
125,31.47623603,120.3951635
126,31.51847946,120.393446
127,31.49575336,120.4943122
128,31.55398876,120.343156
129,31.49986109,120.3921535
130,31.54646458,120.4284432
131,31.57078569,120.3309217
132,31.53721134,120.4327276
133,31.54015801,120.4390658
134,31.53737972,120.341507
135,31.57672836,120.3133398
136,31.58101192,120.4059687
137,31.55264893,120.3623309
138,31.56277228,120.4058807
139,31.55424535,120.3511579
140,31.57148796,120.3454503
141,31.54418019,120.4334928
142,31.55525704,120.3840406
143,31.48009336,120.4508783
144,31.56918136,120.3724227
145,31.51514966,120.4999444
146,31.50588486,120.4330158
147,31.56824574,20.34365082
148,31.56345168,120.3555508
149,31.55759661,120.3685537
150,31.47557115,120.4480976
151,31.57497614,120.3281447
152,31.52265132,120.4302217
153,31.57028201,120.3360648
154,31.54285702,120.3732691
155,31.56422912,120.3553284
156,31.55586858,120.3510514
157,31.53868482,120.4398584
158,31.54697652,120.3756096
159,31.48238771,120.4478802
160,31.53441391,120.4301415
161,31.4938244,120.4911448
162,31.54736644,120.3729999
163,31.52777323,120.4963438
164,31.47251884,120.4549399
165,31.46950453,120.4340799
166,31.56695167,120.3707309
167,31.56546721,120.4029724
168,31.54568567,120.3690244
169,31.49462859,120.4653251
170,31.54969891,120.3566373
171,31.58088461,120.4048961
172,31.57609507,120.3282749
173,31.51287659,120.4112585
174,31.56258185,120.3927709
175,31.55411626,120.3703231
176,31.56984232,120.3228809
177,31.51158763,120.3951552
178,31.54811044,120.347128
179,31.53006257,120.3822499
180,31.56636689,120.3931432
181,31.57847938,120.3134488
182,31.5488858,120.3648418
183,31.54706407,120.4382663
184,31.54625755,120.4193704
185,31.5565121,120.3617304
186,31.57416631,120.3740795
187,31.50491187,120.3893055
188,31.47761079,120.4547045
189,31.55097758,120.3686498
190,31.51972944,120.4535452
191,31.56259131,120.390107
192,31.50371187,120.4335611
193,31.52441664,120.5006205
194,31.56299851,120.3176913
195,31.54607897,120.4472307
196,31.48223041,120.4716038
197,31.57962454,120.4079505
198,31.54642375,120.4325209
199,31.46335005,120.4518875
200,31.5467892,120.3586791
201,31.57260204,120.3157734
202,31.54205638,120.3545911
203,31.53965372,120.349888
204,31.54154739,120.380966
205,31.53393336,120.4371096
206,31.52007312,120.5064779
207,31.56713526,120.3960732
208,31.5610518,120.3317038
209,31.53904531,120.4158318
210,31.48648548,120.4991331
211,31.5299128,120.5017943
212,31.55977485,120.387957
213,31.51497825,120.4982213
214,31.55477796,120.3703391
215,31.56463653,120.379502
216,31.56925465,120.4062983
217,31.55356543,120.3666095
218,31.49375807,120.485337
219,31.56404274,120.3453822
220,31.48113059,120.4985995
221,31.57701419,120.3219334
222,31.55489011,120.3849397
223,31.52575198,120.5029737
224,31.47527504,120.4490712
225,31.47666311,120.3674117
226,31.45534666,120.4662398
227,31.53658366,120.4457474
228,31.48399527,120.4692937
229,31.56231559,120.3734513
230,31.55603526,120.39356
231,31.47681211,120.3872583
232,31.57209305,120.3828313
233,31.45793763,120.4435032
234,31.51942562,120.3682816
235,31.56083148,120.3251203
236,31.57968774,120.3158287
237,31.54589634,120.3926926
238,31.52838481,120.5052286
239,31.47086557,120.4411015
240,31.5549172,120.3762084
241,31.56912969,120.3823099
242,31.55729372,120.3686566
243,31.55356754,120.3429607
244,31.5665165,120.3636645
245,31.5678738,120.3880468
246,31.48941373,120.4671124
247,31.5645912,120.3577435
248,31.47835303,120.4514117
249,31.52461602,120.5024625
250,31.52952939,120.5043043
251,31.54737374,120.4336687
252,31.47664649,120.3825704
253,31.56308756,120.3267791
254,31.57588729,120.317559
255,31.57356414,120.3320772
256,31.5524238,120.3480935
257,31.54215177,120.4173879
258,31.54082162,120.3525472
259,31.56516576,120.3439544
260,31.51428501,120.4362165
261,31.54867028,120.3588904
262,31.56476875,120.3898621
263,31.50715902,120.3973059
264,31.52371269,120.3721388
265,31.52280579,120.3880069
266,31.47221549,120.4422064
267,31.55835344,120.3583296
268,31.53952257,120.4318431
269,31.4913345,120.4900039
270,31.55392886,120.3923182
271,31.55096984,120.3678242
272,31.53511773,120.4369927
273,31.5651484,120.3701663
274,31.46997523,120.4378438
275,31.54794856,120.3564861
276,31.45925569,120.4561222
277,31.55738233,120.3865233
278,31.57341773,120.3786327
279,31.54457648,120.4447002
280,31.52799626,120.4972645
281,31.51783764,120.5023351
282,31.5705205,120.4050609
283,31.54547288,120.3744469
284,31.49087182,120.4896435
285,31.56864289,120.4030024
286,31.47648873,120.381635
287,31.56919826,120.3750055
288,31.56875817,120.3304616
289,31.5193769,120.5071222
290,31.54645364,120.4352309
291,31.45926032,120.4561444
292,31.56305476,120.3454749
293,31.51953133,120.3679793
294,31.54256632,120.445668
295,31.50993352,120.3955201
296,31.50573251,120.4313185
297,31.55263196,120.3673656
298,31.52511417,120.4984396
299,31.65118552,120.9351474
300,31.5432801,120.4192562
301,31.54590678,120.3730493
302,31.54524092,120.3531026
303,31.47080346,120.4397575
304,31.5639574,120.3597207
305,31.52249833,120.4380117
306,31.57460731,120.3187662
307,31.52930236,120.5038586
308,31.47664447,120.4526687
309,31.58033948,120.4059927
310,31.51544676,120.497865
311,31.5368419,120.4347222
312,31.56039113,120.388969
313,31.4892482,120.4680493
314,31.52087842,120.4523524
315,31.56032183,120.3297127
316,31.53614291,120.4413568
317,31.56971143,120.3860325
318,31.57403603,120.375139
319,31.55220212,120.3574073
320,31.54599832,120.4452786
321,31.57243475,120.3329579
322,31.57438384,120.3185544
323,31.56337088,120.3926838
324,31.4738906,120.4484762
325,31.52467884,120.5032226
326,31.56363891,120.3461417
327,31.50221556,120.4360466
328,31.47514626,120.3683543
329,31.5668187,120.3676399
330,31.5475019,120.4332977
331,31.54370096,120.3746996
332,31.55020416,120.3686856
333,31.52271387,120.426941
334,31.47671317,120.3873168
335,31.57948447,120.4062134
336,31.8582093,120.8839209
337,31.54215693,120.3530432
338,31.55516792,120.3907409
339,31.51307978,120.3895296
340,31.56434371,120.3736355
341,31.5385483,120.4324525
342,31.48847342,120.4859226
343,31.54214879,120.4189228
