Ineed
"[120.37931,31.564639],"
"[120.372701,31.57058733],"
"[120.4697263,31.49371967],"
"[120.449944,31.476353],"
"[120.4997615,31.5250915],"
"[120.5043933,31.52843667],"
"[120.43877,31.548351],"
"[120.3650398,31.55297433],"
"[120.41715,31.54214567],"
"[120.313838,31.5788755],"
"[120.3292603,31.5632515],"
"[120.4400205,31.534981],"
"[120.3656845,31.4698665],"
"[120.3542184,31.542348],"
"[120.44039,31.469257],"
"[120.422419,31.53072],"
"[120.382185,31.573342],"
"[120.4549561,31.47833929],"
"[120.4880752,31.493641],"
"[120.3694395,31.5688445],"
"[120.438856,31.469468],"
"[120.3501893,31.53986983],"
"[120.40802,31.582116],"
"[120.3462435,31.571075],"
"[120.4991045,31.5299425],"
"[nan,nan],"
"[120.3352133,31.573802],"
"[120.3579433,31.547663],"
"[120.3722937,31.553936],"
"[120.375829,31.541658],"
"[120.421636,31.521748],"
"[120.468875,31.484913],"
"[120.376306,31.530992],"
"[120.436441,31.471014],"
"[120.431711,31.5334005],"
"[120.373869,31.54569675],"
"[120.3917593,31.5562045],"
"[120.360427,31.567638],"
"[120.38954,31.5622395],"
"[120.3969695,31.5663755],"
"[120.393,31.5179325],"
"[nan,nan],"
"[120.4542303,31.47089525],"
"[120.4419565,31.5392115],"
"[120.451172,31.549887],"
"[120.3720672,31.5484048],"
"[nan,nan],"
"[120.4976397,31.51453867],"
"[120.3739167,31.57549867],"
"[120.404415,31.571623],"
"[120.3401423,31.55842333],"
"[120.393301,31.54639],"
"[nan,nan],"
"[120.3717665,31.543502],"
"[120.3726755,31.5422615],"
"[120.498251,31.48386975],"
"[120.41463,31.534945],"
"[120.4187933,31.545361],"
"[nan,nan],"
"[120.3189507,31.578634],"
"[120.494388,31.49615967],"
"[120.3696753,31.5459425],"
"[120.3389805,31.56811825],"
"[120.45761,31.495763],"
"[120.438083,31.473787],"
"[120.4457435,31.549759],"
"[120.324501,31.57525867],"
"[120.3781725,31.574493],"
"[nan,nan],"
"[120.4968775,31.4893775],"
"[120.321005,31.57421325],"
"[120.4716425,31.4832295],"
"[nan,nan],"
"[120.4841854,31.4943598],"
"[120.5016138,31.520412],"
"[120.36459,31.568186],"
"[120.428835,31.503299],"
"[nan,nan],"
"[120.395132,31.51144833],"
"[120.371456,31.561421],"
"[120.4522297,31.52086833],"
"[120.450402,31.4795382],"
"[120.404359,31.56806867],"
"[120.3650195,31.518133],"
"[120.392688,31.5618925],"
"[120.3848317,31.55447267],"
"[120.517279,31.519754],"
"[120.446109,31.471737],"
"[120.3708,31.543335],"
"[120.401884,31.50804833],"
"[120.4962133,31.52740475],"
"[120.435251,31.47192],"
"[nan,nan],"
"[120.326203,31.568281],"
"[nan,nan],"
"[120.4081908,31.56906725],"
"[120.366578,31.56413967],"
"[120.3685717,31.54995267],"
"[120.400262,31.56586],"
"[120.448083,31.473201],"
"[nan,nan],"
"[nan,nan],"
"[120.4355933,31.53713033],"
"[120.4840615,31.4909285],"
"[120.3470429,31.56145563],"
"[120.432741,31.5221005],"
"[nan,nan],"
"[120.466021,31.454953],"
"[120.3770145,31.548841],"
"[120.387335,31.5675825],"
"[120.434521,31.469028],"
"[120.382357,31.545074],"
"[120.449091,31.544675],"
"[120.4432705,31.54425125],"
"[120.403986,31.563103],"
"[120.4325602,31.547844],"
"[nan,nan],"
"[120.4453253,31.5363585],"
"[120.32086,31.568793],"
