lat,lng,id,label1,label2,type,value
31.54325488,120.3527577,1,1,4,1,1
31.56775222,120.341654,2,1,4,1,1
31.49104063,120.4901294,3,1,4,1,1
31.47060371,120.4399456,4,1,4,1,1
31.5095935,120.396189,5,1,4,1,1
31.5140835,120.4331451,6,1,4,1,1
31.562626,120.3483156,7,1,4,1,1
31.57003733,120.4042875,8,1,4,1,1
31.57136144,120.3346672,9,1,4,1,1
31.57606531,120.3168978,10,1,4,1,1
31.55917786,120.389757,11,1,4,1,1
31.48706583,120.4706058,12,1,4,1,1
31.50169025,120.4610968,13,1,4,1,1
31.54212217,120.4247203,14,1,4,1,1
31.477134,120.3828239,15,1,4,1,1
31.57152114,120.3788745,16,1,4,1,1
31.4596755,120.4589613,17,1,4,1,1
31.56520585,120.3688697,18,1,4,1,1
31.47799912,120.4511005,19,1,4,1,1
31.55204039,120.3662145,20,1,4,1,1
31.56054411,120.3305907,21,1,4,1,1
31.57500027,120.3270927,22,1,4,1,1
31.52422888,120.37673,23,1,4,1,1
31.675276,120.35785,24,1,4,1,1
31.52434,120.5013893,25,1,4,1,1
31.56367375,120.3204413,26,1,4,1,1
,,27,1,4,1,1
31.54563442,120.373869,28,1,4,1,1
31.54123056,120.4406523,29,1,4,1,1
31.55684014,120.3507587,30,1,4,1,1
