lat,lng
31.5478274,120.4384438
31.480315,120.389353
31.57106,120.318779
31.47587033,120.3898677
31.57148783,120.3348862
31.47833929,120.4549561
31.5480005,120.3477455
31.47858575,120.4498045
31.56730833,120.3888657
31.5480515,120.3721077
31.507808,120.40506
31.5600645,120.3874735
31.520412,120.5016138
31.509085,120.3998383
31.519754,120.517279
31.5576,120.327919
31.560602,120.322104
31.472469,120.447096
31.5645295,120.3682375
31.532843,120.43435
31.575681,120.407806
31.49891,120.43401
31.469028,120.434521
31.54236867,120.38154
31.57714133,120.330359
31.56505067,120.400874
31.48843833,120.4976787
31.5618345,120.3452775
31.5439636,120.3749648
31.548841,120.3770145
31.52843667,120.5043933
31.534945,120.41463
31.5643395,120.331717
31.5460686,120.419072
31.574972,120.336264
31.5428735,120.3540825
31.575685,120.3219473
31.56665,120.396991
31.473677,120.383945
31.5744896,120.3741342
31.5601055,120.338905
31.47427767,120.4408403
31.5638825,120.3467365
31.49371967,120.4697263
31.4961525,120.487602
31.552927,120.3669983
31.56916133,120.3700117
31.5621635,120.3268035
31.54936267,120.4491693
31.484951,120.374255
31.55626967,120.391217
31.558695,120.332678
31.57106,120.324744
31.5429724,120.3719368
31.527336,120.4957573
31.454953,120.466021
31.4873465,120.449456
31.571623,120.404415
31.56051067,120.347539
31.4815095,120.444864
31.532998,120.435916
31.4909285,120.4840615
31.5285525,120.497538
31.535705,120.437032
31.464398,120.4519015
31.57683633,120.3264967
31.5745055,120.317931
31.566771,120.3358405
31.54995267,120.3685717
31.495763,120.45761
31.5459425,120.3696753
31.548954,120.432962
31.56639467,120.3627587
31.5681055,120.4061245
31.56469767,120.319887
31.479285,120.393944
31.5337515,120.435152
31.5221465,120.431399
31.52473867,120.421897
31.48186575,120.497339
31.5389145,120.4295005
31.547663,120.3579433
31.54011367,120.3520703
31.553936,120.3722937
31.5183345,120.3713603
31.5363585,120.4453253
31.5334005,120.431711
31.558872,120.389822
31.544468,120.4438031
31.47159767,120.440738
31.520186,120.462588
31.566101,120.396948
31.4943598,120.4841854
31.497062,120.495547
31.471467,120.435846
31.48407125,120.4702588
31.5689,120.3398853
31.525059,120.5019932
31.565224,120.381563
31.47228633,120.4550493
31.471349,120.3641897
31.561914,120.373208
31.5117135,120.3932365
31.5212095,120.4470505
31.579277,120.319766
31.53860333,120.4415167
31.46947367,120.439392
31.556009,120.393386
31.572266,120.3148307
31.528361,120.5002845
31.49196667,120.4883907
31.562769,120.392455
31.47910625,120.383044
31.5787892,120.3152616
31.458706,120.444005
31.53012325,120.3820998
31.54214567,120.41715
31.54639,120.393301
31.571842,120.409093
31.5719448,120.381816
31.5622395,120.38954
31.5220545,120.434083
31.558679,120.349698
31.535463,120.4400327
31.4768745,120.394567
31.5179325,120.393
31.4957085,120.4938085
31.5536875,120.343497
31.50079,120.392421
31.546095,120.4286133
31.570585,120.331009
31.537461,120.432998
31.539013,120.437835
31.538783,120.343476
31.576343,120.313693
31.58073867,120.4055597
31.5513376,120.3639524
31.562774,120.405874
31.5544555,120.352423
31.571075,120.3462435
31.5430546,120.433569
31.55447267,120.3848317
31.480324,120.4514245
31.5680585,120.3737095
31.51453867,120.4976397
31.5047884,120.4323368
31.5671185,120.342874
31.563396,120.355492
31.55668675,120.368574
31.4753678,120.4479964
31.574168,120.329078
