lat,lng
31.543356,120.3405
31.553091,120.361501
31.553154,120.367103
31.543996,120.375284
31.561679,120.381709
31.559275,120.339609
31.567328,120.332733
31.561636,120.341343
31.566165,120.343374
31.565117,120.341607
31.563708,120.374421
31.55705,120.348942
31.545536,120.43825
31.549797,120.427574
31.4947,120.48823
31.548244,120.368431
31.568689,120.337106
31.476661,120.447853
31.476661,120.447853
31.462261,120.452202
31.46073,120.45395
31.462261,120.452202
31.545924,120.434644
31.53202,120.470008
31.496551,120.494425
31.495021,120.488254
31.524704,120.499069
31.550957,120.352778
31.551291,120.351898
31.557794,120.383799
31.473214,120.441898
31.568351,120.338061
31.47656,120.38144
31.568689,120.337106
31.478895,120.454933
31.478895,120.454933
31.48741,120.379722
31.545244,120.351297
31.55077,120.360741
31.458756,120.44294
31.486942,120.494639
31.548664,120.355506
31.578352,120.315376
31.507143,120.432852
31.57078,120.330883
31.566555,120.343271
31.56314,120.33542
31.529291,120.387447
31.54603,120.357583
31.482788,120.447485
31.531993,120.387418
31.547349,120.388705
31.488027,120.49953
31.47855,120.385047
31.569657,120.328388
31.572347,120.319994
31.547267,120.388896
31.566363,120.342706
31.544704,120.352622
31.543538,120.362311
31.561953,120.380076
31.493888,120.480234
31.557208,120.389863
31.55603,120.371516
